dataHora,ordem,linha,latitude,longitude,velocidade
04-06-2014 00:00:00,B58140,,"-22.837179","-43.285069",0
04-06-2014 00:00:00,B73056,,"-22.8099","-43.342491",0
04-06-2014 00:00:00,A71571,,"-22.929939","-43.253906",0
04-06-2014 00:00:01,B42582,457,"-22.8766","-43.330002",0
04-06-2014 00:00:01,B71091,238,"-22.90276","-43.314175",0
04-06-2014 00:00:01,A41120,460,"-22.875496","-43.242023",0
04-06-2014 00:00:01,A50187,220,"-22.929131","-43.254444",0
04-06-2014 00:00:02,A41856,,"-22.870609","-43.249935",0.19
04-06-2014 00:00:03,B71033,238,"-22.902721","-43.314957",0.74
04-06-2014 00:00:04,D53532,,"-22.88401","-43.49572",0
04-06-2014 00:00:04,B31048,485,"-22.804932","-43.309406",0
04-06-2014 00:00:05,D53602,,"-22.88386","-43.495312",0
04-06-2014 00:00:05,B31029,497,"-22.805159","-43.309341",0
04-06-2014 00:00:05,A27543,433,"-22.92","-43.256592",0
04-06-2014 00:00:05,A37563,584,"-22.902941","-43.19632",0
04-06-2014 00:00:05,A50005,229,"-22.929049","-43.254345",0
04-06-2014 00:00:06,C39717,,"-22.964069","-43.391178",0
04-06-2014 00:00:07,D87819,,"-22.918341","-43.607971",0
04-06-2014 00:00:07,B42543,,"-22.876261","-43.32996",0
04-06-2014 00:00:10,C39551,856,"-22.96382","-43.391811",0
04-06-2014 00:00:10,A71518,,"-22.929745","-43.254883",0
04-06-2014 00:00:11,B82568,,"-22.858122","-43.371109",0
04-06-2014 00:00:11,A72034,,"-22.889046","-43.292171",0
04-06-2014 00:00:13,D58606,,"-22.876619","-43.419708",0
04-06-2014 00:00:13,D86312,867,"-22.894543","-43.53278",0
04-06-2014 00:00:13,B28704,2344,"-22.814501","-43.188992",0
04-06-2014 00:00:13,B42635,,"-22.87632","-43.330441",0
04-06-2014 00:00:13,B75505,,"-22.830549","-43.323792",0
04-06-2014 00:00:13,A41306,,"-22.87509","-43.242123",0.37
04-06-2014 00:00:15,C82503,678,"-22.858021","-43.371338",0
04-06-2014 00:00:15,A41003,170,"-22.874674","-43.241047",0
04-06-2014 00:00:17,D86189,864,"-22.89484","-43.533699",0
04-06-2014 00:00:17,B31115,,"-22.805164","-43.309765",0
04-06-2014 00:00:17,B32671,,"-22.81723","-43.392929",2
04-06-2014 00:00:18,B42516,,"-22.87719","-43.3297",0
04-06-2014 00:00:18,B60525,,"-22.815281","-43.386608",0
04-06-2014 00:00:19,C87179,382,"-22.91852","-43.607929",0
04-06-2014 00:00:20,B71025,247,"-22.903187","-43.312954",0
04-06-2014 00:00:20,C39504,,"-22.96418","-43.39188",0
04-06-2014 00:00:21,B75558,,"-22.831221","-43.323219",0
04-06-2014 00:00:21,C50109,805,"-22.929577","-43.253647",0.56
04-06-2014 00:00:21,A41037,460,"-22.875345","-43.241894",0
04-06-2014 00:00:21,A48085,,"-22.91058","-43.26976",0
04-06-2014 00:00:22,A37703,,"-22.90123","-43.196239",0
04-06-2014 00:00:22,A41048,110,"-22.874866","-43.242382",0
04-06-2014 00:00:23,B11579,,"-22.811584","-43.37225",0.56
04-06-2014 00:00:24,A27623,157,"-22.9203","-43.256168",0
04-06-2014 00:00:25,D86206,851,"-22.894617","-43.533806",0
04-06-2014 00:00:25,B42548,,"-22.87639","-43.329941",0
04-06-2014 00:00:25,B60056,385,"-22.81481","-43.386269",0
04-06-2014 00:00:25,B73052,SR350,"-22.809481","-43.343632",0
04-06-2014 00:00:26,B10523,,"-22.868179","-43.257301",0
04-06-2014 00:00:26,B28716,2343,"-22.814911","-43.188519",0
04-06-2014 00:00:27,A27652,605,"-22.920231","-43.256008",0
04-06-2014 00:00:27,A37540,186,"-22.90279","-43.196201",0
04-06-2014 00:00:28,B60021,,"-22.81496","-43.38567",0
04-06-2014 00:00:28,A37519,,"-22.90258","-43.196072",0
04-06-2014 00:00:29,B58205,,"-22.83606","-43.285809",0
04-06-2014 00:00:30,B73019,,"-22.81144","-43.34211",0
04-06-2014 00:00:31,D87516,366,"-22.919241","-43.607399",0
04-06-2014 00:00:31,D87734,,"-22.91717","-43.60722",0
04-06-2014 00:00:31,B11690,,"-22.811541","-43.372494",0
04-06-2014 00:00:31,B19552,665,"-22.809629","-43.343491",0
04-06-2014 00:00:31,B42649,,"-22.876539","-43.32972",0
04-06-2014 00:00:31,C87169,,"-22.91868","-43.607399",0
04-06-2014 00:00:31,A48163,,"-22.91073","-43.269695",0
04-06-2014 00:00:32,D87132,830,"-22.91777","-43.607639",0
04-06-2014 00:00:32,D87135,893,"-22.919729","-43.60775",0
04-06-2014 00:00:32,D87886,,"-22.917259","-43.608131",0
04-06-2014 00:00:32,B58152,,"-22.836981","-43.28503",0
04-06-2014 00:00:32,B73103,629,"-22.809231","-43.343529",0
04-06-2014 00:00:32,C44685,,"-22.860941","-43.356289",0
04-06-2014 00:00:32,A48122,,"-22.910566","-43.269791",0
04-06-2014 00:00:33,A41261,538,"-22.857882","-43.244484",0
04-06-2014 00:00:33,A41284,460,"-22.874907","-43.241844",0
04-06-2014 00:00:34,D53596,,"-22.88386","-43.495239",0
04-06-2014 00:00:34,B71052,247,"-22.903055","-43.313377",0
04-06-2014 00:00:35,D86268,884,"-22.895943","-43.533169",0
04-06-2014 00:00:35,B71107,238,"-22.903414","-43.31377",0.37
04-06-2014 00:00:36,B44590,676,"-22.86058","-43.356232",0
04-06-2014 00:00:36,C21031,314,"-22.895231","-43.248779",0
04-06-2014 00:00:36,A48177,,"-22.910563","-43.269581",0
04-06-2014 00:00:37,C50210,805,"-22.960772","-43.395493",0
04-06-2014 00:00:38,D87790,,"-22.9189","-43.608479",0
04-06-2014 00:00:38,B27031,SVA905,"-22.81744","-43.301559",0
04-06-2014 00:00:38,C87812,,"-22.91684","-43.60725",0
04-06-2014 00:00:40,D81040,,"-22.896065","-43.474293",0
04-06-2014 00:00:40,D86798,2338,"-22.894115","-43.532372",0
04-06-2014 00:00:40,B42572,,"-22.87653","-43.330078",0
04-06-2014 00:00:42,C20097,600,"-22.95775","-43.345295",0
04-06-2014 00:00:42,A71617,,"-22.929949","-43.254574",0
04-06-2014 00:00:44,D87466,,"-22.92045","-43.608528",0
04-06-2014 00:00:44,B42521,,"-22.87624","-43.329391",0
04-06-2014 00:00:44,C44528,782,"-22.86042","-43.356541",0
04-06-2014 00:00:45,D53515,,"-22.88373","-43.495892",0
04-06-2014 00:00:45,D86134,853,"-22.894495","-43.531471",0.74
04-06-2014 00:00:45,B28612,,"-22.81555","-43.18782",0
04-06-2014 00:00:45,B32805,,"-22.81805","-43.3932",0
04-06-2014 00:00:46,C41396,315,"-22.857389","-43.244499",0
04-06-2014 00:00:47,B32621,615,"-22.81601","-43.39476",0
04-06-2014 00:00:48,D59205,,"-22.895185","-43.47451",0.74
04-06-2014 00:00:48,B27071,639,"-22.817369","-43.302029",0
04-06-2014 00:00:48,A37543,133,"-22.901609","-43.196121",0
04-06-2014 00:00:49,A41205,110,"-22.875057","-43.242302",0
04-06-2014 00:00:50,B32699,342,"-22.81673","-43.394279",0
04-06-2014 00:00:50,C27023,,"-22.81749","-43.30209",0
04-06-2014 00:00:51,B42659,,"-22.876301","-43.330379",0
04-06-2014 00:00:51,A48074,,"-22.910807","-43.269547",0
04-06-2014 00:00:52,B27048,639,"-22.817499","-43.30191",0
04-06-2014 00:00:53,D86780,2381,"-22.893974","-43.532658",0.37
04-06-2014 00:00:53,C39743,736,"-22.963341","-43.39138",0
04-06-2014 00:00:53,A27573,433,"-22.92071","-43.256279",0
04-06-2014 00:00:53,A50011,229,"-22.929281","-43.253906",0
04-06-2014 00:00:54,B58195,,"-22.836399","-43.285641",0
04-06-2014 00:00:54,A41280,,"-22.874548","-43.242577",0
04-06-2014 00:00:55,D81009,,"-22.895153","-43.474228",0
04-06-2014 00:00:55,B58108,,"-22.837259","-43.284821",0
04-06-2014 00:00:56,A27593,438,"-22.9207","-43.25642",0
04-06-2014 00:00:57,C82536,,"-22.857439","-43.370884",0.37
04-06-2014 00:00:57,A27506,535,"-22.92004","-43.256561",0
04-06-2014 00:00:57,A37640,,"-22.902281","-43.19717",0
04-06-2014 00:00:58,B71046,,"-22.902571","-43.314926",0
04-06-2014 00:00:59,D87425,,"-22.92061","-43.608109",0
04-06-2014 00:00:59,A37617,162,"-22.90218","-43.196678",0
04-06-2014 00:01:02,D58609,,"-22.876591","-43.41975",0
04-06-2014 00:01:02,D87430,,"-22.919359","-43.60717",0
04-06-2014 00:01:02,B10047,924,"-22.81521","-43.186581",0
04-06-2014 00:01:03,B11654,,"-22.866838","-43.3549",0.56
04-06-2014 00:01:03,A29175,,"-22.86817","-43.292229",0
04-06-2014 00:01:04,D86343,853,"-22.894421","-43.532772",0
04-06-2014 00:01:04,B60090,945,"-22.815161","-43.386822",0
04-06-2014 00:01:04,B73105,350,"-22.81007","-43.342579",0
04-06-2014 00:01:04,C50171,,"-22.929195","-43.254005",0.37
04-06-2014 00:01:05,D59181,,"-22.895138","-43.47443",0
04-06-2014 00:01:05,B42604,650,"-22.8769","-43.329899",0
04-06-2014 00:01:05,C44651,709,"-22.86051","-43.355549",0
04-06-2014 00:01:06,C39634,,"-22.963511","-43.391178",0
04-06-2014 00:01:06,A37697,570,"-22.902229","-43.196301",0
04-06-2014 00:01:06,A71611,,"-22.930599","-43.254429",0
04-06-2014 00:01:08,D87049,804,"-22.919331","-43.607609",0
04-06-2014 00:01:08,D87719,,"-22.918909","-43.608631",0
04-06-2014 00:01:08,D87762,,"-22.917749","-43.608601",0
04-06-2014 00:01:08,B19568,665,"-22.810209","-43.34235",0
04-06-2014 00:01:08,B32673,2305,"-22.81745","-43.393608",0
04-06-2014 00:01:08,B73041,372,"-22.809349","-43.34354",0
04-06-2014 00:01:08,A41266,121,"-22.87537","-43.24157",0
04-06-2014 00:01:09,D86245,SV843,"-22.894459","-43.532185",0
04-06-2014 00:01:09,D90137,,"-22.920179","-43.6437",0
04-06-2014 00:01:09,C27089,,"-22.817499","-43.301449",0
04-06-2014 00:01:09,C82584,,"-22.859541","-43.371044",0
04-06-2014 00:01:09,A48093,415,"-22.910633","-43.270313",0.93
04-06-2014 00:01:10,B31035,497,"-22.804813","-43.310024",0
04-06-2014 00:01:10,B58109,,"-22.837139","-43.285019",3
04-06-2014 00:01:10,C82578,363,"-22.859436","-43.37085",0
04-06-2014 00:01:10,A37712,,"-22.902821","-43.196362",0
04-06-2014 00:01:11,B42585,,"-22.87623","-43.3298",0
04-06-2014 00:01:11,B58038,,"-22.83725","-43.284821",0
04-06-2014 00:01:12,B11616,378,"-22.866175","-43.356495",0
04-06-2014 00:01:12,B44560,638,"-22.860559","-43.355228",0
04-06-2014 00:01:12,B71097,455,"-22.90328","-43.313267",0
04-06-2014 00:01:12,C12501,2345,"-22.854876","-43.252098",1.67
04-06-2014 00:01:12,C39666,747,"-22.963341","-43.391682",6
04-06-2014 00:01:13,B42561,,"-22.876789","-43.330109",0
04-06-2014 00:01:14,D58570,,"-22.8764","-43.419621",0
04-06-2014 00:01:14,B28504,,"-22.81609","-43.187931",0
04-06-2014 00:01:14,B63037,,"-22.792305","-43.294109",0.19
04-06-2014 00:01:14,A27548,438,"-22.92124","-43.256378",0
04-06-2014 00:01:16,B10518,630,"-22.86796","-43.25695",0
04-06-2014 00:01:16,B58016,,"-22.836531","-43.285549",0
04-06-2014 00:01:17,B27047,905,"-22.816971","-43.30125",0
04-06-2014 00:01:17,A29161,209,"-22.868271","-43.290798",0
04-06-2014 00:01:18,B73014,685,"-22.80958","-43.341999",0
04-06-2014 00:01:18,C39744,736,"-22.96323","-43.39138",0
04-06-2014 00:01:18,A27563,536,"-22.92046","-43.256359",0
04-06-2014 00:01:19,B11521,,"-22.811541","-43.372105",0
04-06-2014 00:01:19,C50174,,"-22.960873","-43.395557",0
04-06-2014 00:01:20,D86037,,"-22.894369","-43.532211",0.19
04-06-2014 00:01:20,A41827,,"-22.870491","-43.249886",1.67
04-06-2014 00:01:21,B19512,SVA685,"-22.811159","-43.34304",0
04-06-2014 00:01:21,C39528,,"-22.963221","-43.39114",0
04-06-2014 00:01:21,C39574,747,"-22.96266","-43.391621",0
04-06-2014 00:01:21,A37628,,"-22.902321","-43.19664",0
04-06-2014 00:01:21,A48046,,"-22.910601","-43.269566",0
04-06-2014 00:01:22,B10183,914,"-22.81531","-43.18742",0
04-06-2014 00:01:22,B42575,457,"-22.8766","-43.330399",0
04-06-2014 00:01:22,C41388,315,"-22.857389","-43.245068",0
04-06-2014 00:01:23,D53509,,"-22.88402","-43.495239",0
04-06-2014 00:01:24,D53676,,"-22.883711","-43.495811",0
04-06-2014 00:01:24,A29072,539,"-22.86829","-43.290989",0
04-06-2014 00:01:25,B10413,,"-22.814751","-43.187592",0
04-06-2014 00:01:25,B28553,696,"-22.81567","-43.187889",0
04-06-2014 00:01:25,B75504,,"-22.83102","-43.323631",0
04-06-2014 00:01:25,C39748,832,"-22.96356","-43.391869",0
04-06-2014 00:01:25,A29127,523,"-22.86853","-43.292789",0
04-06-2014 00:01:25,A29170,472,"-22.868629","-43.2911",0
04-06-2014 00:01:25,A72157,,"-22.889975","-43.292465",0.19
04-06-2014 00:01:26,D81148,,"-22.895031","-43.473957",10
04-06-2014 00:01:26,B42619,,"-22.844379","-43.24852",0
04-06-2014 00:01:27,B28575,696,"-22.8153","-43.18869",0
04-06-2014 00:01:28,D58539,,"-22.876551","-43.419991",0
04-06-2014 00:01:28,B73104,350,"-22.809999","-43.342491",0
04-06-2014 00:01:28,C42562,667,"-22.876699","-43.3297",0
04-06-2014 00:01:29,D87205,,"-22.91972","-43.60709",0
04-06-2014 00:01:29,C72054,,"-22.889904","-43.291813",0.19
04-06-2014 00:01:31,D58630,744,"-22.87669","-43.419781",0
04-06-2014 00:01:33,B31119,483,"-22.804342","-43.310287",0
04-06-2014 00:01:33,C39585,760,"-22.96339","-43.391609",0
04-06-2014 00:01:34,D53910,,"-22.883869","-43.496281",0
04-06-2014 00:01:34,B10078,323,"-22.81562","-43.187561",0
04-06-2014 00:01:34,B60046,386,"-22.814711","-43.38625",0
04-06-2014 00:01:34,A37506,,"-22.90185","-43.19627",0
04-06-2014 00:01:35,A37653,,"-22.901791","-43.196259",0
04-06-2014 00:01:35,A41150,127,"-22.874109","-43.242466",0
04-06-2014 00:01:36,B58075,,"-22.83687","-43.286201",0
04-06-2014 00:01:37,C20022,,"-22.957525","-43.345119",0
04-06-2014 00:01:38,B60068,261,"-22.81506","-43.386189",0
04-06-2014 00:01:38,A48116,,"-22.910702","-43.269531",0
